Date,Global_Total_GHG_emissions,Global_Non-energy_related_GHG_emissions,Global_Energy-related_GHG_emissions ,GlobalTotal_CO2_emissions,Global_Nonenergy_related_CO2_emissions,Global_Energy_related_CO2_emissions,Global_Oil_CO2Emissions,GlobaNatural_gas_Emissions,Global_Coal_Emissions,Global_Biomass_EmmissionReduction,Global_CO2_Emissions_per_GDP,Global_CO2_Emissionsper_Capita,GlobalCO2_Emissions_per_Primary_Energy_Consumption,Global_CO2_Emissions_relative_to_2005_Level,Carbontax_United_States,CO2_Emissions_per_GDP_metrictonnes_CO2_equivalent_per_real _million_USD,CO2_Emissions_per_Capita_metric_tonnes_CO2_ equivalent_per_person),Population_million_people,Global_Total_Energy_Demand_MTOE,Global_Total_Electricity_Demand_MTOE,Global_Oil_Demand_MTOE,Global_Natural_gas_demandMTOE,Global_CoalMTOE,Global_Hydrogen_Demand_MTOE,GlobalTraditional_biomassMTOE,GlobalModern_biomassMTOE,Primary_Energy_Oil_percent,Primary_Energy_Gas_percent,Primary_Coal_percent,Primary_Nuclear_percent,Primary_Hydro_percent,Primary_Renewables_percent,Primary_Modern_biomass_percent,Primary_Other_percent,Africa_MTOE,Asia_Pacific_MTOE,OECD_Asia_Pacific_MTOE,Non-OECD_Asia_Pacific_MTOE,Southeast_Asia_Pacific_MTOE,CIS_MTO ,Europe_MTOE,European_Union_MTOE,Non-EU_MTOE,Latin_America_MTOE,Middle_East_MTOE,North_America_MTOE,OECD_MTOE,Non-OECD_MTOE,Global_Total_energy _consumption,Residential_MTOE,Agricultural_MTOE,Commercial_MTOE,Industry_MTOE,Feedstocks_MTOE,Transport_MTOE,Road_transport_MTOE,Rail_MTOE,Aviation_MTOE,Marine_bunkers_MTOE,Other_transport_MTOE,Total_Demand_by_sector_MTOE,Global_Residential_Emissions,Global_Commercial_emissions,Global_Agricultural_emmissions,Global_Transportation_Emissions,Global_Road_transport_emissions,Global_Rail_emissions,Global_Aviation_emmissions,Global_Marine_ bunkers_emmisions,Global_Other_transport_emmission,Global_Industrial_CO2,Global_Electric_CO2,Global_District_ heating_CO2,Global_Other_CO2,Total,Carbontax_Canada,CarbonTax_China_mainland,Carbontax_France,Carbontax_Germany,Carbontax_Italy,Carbontax_Japan,Carbontax_United_Kingdom,Carbontax_United_States_01,Global_Energy-related_CO2 captured_saved_by_fuel,Oil_emissions_captured_saved,NGAS_emissions_captured_saved,Coal_emissions_captured_saved,Biomass_emissions_captured_saved,Industrial_CO2_captured_Saved,District_heating_captured_saved,Electric_power_captured_saved
1990,"34,674","10,377","24,297","24,678","3,020","21,658","9,096","3,735","8,827",0,566.8,4.1,2.5,0.77,$0.00,566.8,4.1,"5,324","6,000.1",832.3,"2,373.0",878.5,675.7,98.5,604.6,197.7,36.5,19.2,25.5,2.1,6.1,0.4,3.3,7.0,302.3,"1,611.8",424.4,"1,187.4",186.8,888.0,"1,258.4","1,017.3",241.1,270.1,161.2,"1,508.3","3,122.1","2,877.9","6,000.1","1,535.4",160.0,701.0,"1,731.4",344.4,"1,527.9","1,109.2",43.5,154.6,150.6,69.9,"6,000.1","1,841","1,083",417,"4,585",NA,NA,NA,NA,NA,"4,527","6,252","1,243","1,712","21,658",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,"33,886","10,337","23,549","23,913","2,977","20,936","8,859","3,703","8,374",0,541.0,3.9,2.4,0.74,$0.00,541.0,3.9,"5,412","6,099.5",858.9,"2,426.8",905.5,653.8,99.2,611.9,203.2,36.4,19.7,24.7,2.2,6.3,0.4,3.3,7.1,308.0,"1,650.2",439.6,"1,210.6",190.4,896.9,"1,262.9","1,017.9",244.9,272.9,173.1,"1,535.5","3,186.1","2,913.4","6,099.5","1,565.8",167.8,724.0,"1,721.1",357.3,"1,563.5","1,138.8",43.2,152.0,157.1,72.4,"6,099.5","1,831","1,100",401,"4,554",NA,NA,NA,NA,NA,"4,055","6,264","1,211","1,519","20,936",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1992,"33,916","10,409","23,506","23,853","2,966","20,887","8,948","3,707","8,232",0,529.5,3.8,2.4,0.74,$0.00,529.5,3.8,"5,498","6,098.4",864.6,"2,473.5",899.8,589.9,101.7,617.5,210.7,36.7,19.6,24.2,2.2,6.3,0.5,3.4,7.1,312.7,"1,697.5",453.5,"1,244.0",201.8,839.1,"1,237.3",996.3,241.0,277.2,188.7,"1,545.8","3,197.0","2,901.4","6,098.4","1,571.7",166.7,699.4,"1,687.8",368.0,"1,604.7","1,163.4",43.9,157.5,166.6,73.3,"6,098.4","1,804",967,402,"4,681",NA,NA,NA,NA,NA,"3,934","6,396","1,196","1,508","20,887",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1993,"34,048","10,458","23,590","23,960","2,983","20,977","8,972","3,770","8,234",0,523.6,3.8,2.4,0.74,$0.00,523.6,3.8,"5,581","6,164.6",881.8,"2,512.2",916.3,583.4,104.8,624.3,204.0,36.5,19.9,24.0,2.3,6.5,0.5,3.3,7.1,316.3,"1,768.5",470.0,"1,298.5",211.1,788.0,"1,237.3",993.1,244.3,286.1,196.0,"1,572.3","3,245.5","2,919.1","6,164.6","1,713.6",172.0,602.2,"1,673.8",371.4,"1,631.6","1,191.5",44.4,163.5,165.4,66.7,"6,164.6","1,859",985,395,"4,761",NA,NA,NA,NA,NA,"3,914","6,400","1,174","1,489","20,977",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1994,"34,219","10,456","23,763","23,996","2,842","21,154","9,077","3,782","8,295",0,511.6,3.7,2.4,0.75,$0.00,511.6,3.7,"5,663","6,186.8",904.8,"2,553.7",908.8,564.0,106.6,631.6,205.5,36.7,19.6,24.0,2.3,6.5,0.5,3.4,7.1,326.9,"1,822.4",491.3,"1,331.1",224.3,680.3,"1,233.7",992.6,241.1,299.4,214.8,"1,609.4","3,303.6","2,883.1","6,186.8","1,699.7",175.3,599.4,"1,659.5",380.6,"1,672.4","1,220.6",40.9,179.2,166.8,64.9,"6,186.8","1,779",942,402,"4,882",NA,NA,NA,NA,NA,"3,924","6,601","1,087","1,536","21,154",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1995,"34,861","10,537","24,324","24,487","2,773","21,715","9,278","3,913","8,523",0,509.8,3.8,2.4,0.77,$0.00,509.8,3.8,"5,745","6,356.6",932.9,"2,645.4",937.4,587.3,108.1,638.5,215.3,36.4,19.8,24.0,2.3,6.6,0.5,3.4,7.0,341.3,"1,936.0",514.2,"1,421.7",243.7,647.8,"1,262.5","1,016.0",246.6,313.1,219.9,"1,636.0","3,382.5","2,974.1","6,356.6","1,744.5",180.3,588.0,"1,734.6",395.3,"1,714.0","1,254.8",40.3,186.7,166.9,65.3,"6,356.6","1,858",900,419,"5,004",NA,NA,NA,NA,NA,"4,171","6,820","1,012","1,531","21,715",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1996,"35,037","10,134","24,903","24,575","2,304","22,271","9,500","4,097","8,674",0,505.1,3.8,2.4,0.79,$0.00,505.1,3.8,"5,825","6,466.9",963.3,"2,740.5",987.2,532.9,111.8,645.3,218.5,36.3,20.1,23.8,2.3,6.7,0.5,3.4,6.9,353.8,"1,952.7",529.6,"1,423.1",259.3,594.1,"1,320.1","1,057.5",262.5,326.2,228.2,"1,691.8","3,505.6","2,961.2","6,466.9","1,784.3",166.5,610.6,"1,715.3",407.4,"1,782.8","1,300.7",40.3,197.1,178.9,65.9,"6,466.9","1,893",913,383,"5,209",NA,NA,NA,NA,NA,"4,118","7,163",970,"1,620","22,271",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1997,"36,115","11,109","25,006","25,738","3,311","22,427","9,709","4,119","8,599",0,489.7,3.8,2.4,0.79,$0.00,489.7,3.8,"5,905","6,539.5",985.9,"2,807.7",968.6,534.2,116.0,650.0,221.8,36.9,20.1,23.4,2.3,6.6,0.5,3.4,6.9,363.0,"2,014.6",544.4,"1,470.2",275.2,569.8,"1,316.4","1,054.5",261.9,338.7,235.6,"1,701.3","3,529.8","3,009.7","6,539.5","1,786.5",179.5,609.9,"1,718.7",434.5,"1,810.4","1,327.9",38.5,204.5,178.1,61.3,"6,539.5","1,904",894,426,"5,290",NA,NA,NA,NA,NA,"4,113","7,337",916,"1,547","22,427",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1998,"35,184","10,269","24,916","24,902","2,414","22,488","9,772","4,143","8,572",0,478.0,3.8,2.3,0.80,$0.00,478.0,3.8,"5,985","6,548.8","1,010.5","2,817.7",949.3,514.9,120.6,655.0,226.9,36.8,20.2,23.2,2.3,6.7,0.5,3.4,6.9,369.8,"2,009.7",528.1,"1,481.6",270.5,563.5,"1,327.5","1,061.6",265.9,345.7,243.2,"1,689.4","3,516.2","3,032.6","6,548.8","1,767.9",177.3,608.6,"1,708.9",437.3,"1,848.8","1,355.8",36.2,208.6,181.2,67.0,"6,548.8","1,780",845,421,"5,402",NA,NA,NA,NA,NA,"4,122","7,518",902,"1,498","22,488",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
1999,"35,812","10,022","25,789","25,552","2,141","23,411","10,010","4,564","8,837",0,480.9,3.9,2.4,0.83,$0.00,480.9,3.9,"6,064","6,677.0","1,040.8","2,901.5",975.4,464.7,124.7,662.8,251.4,36.9,20.4,22.8,2.3,6.8,0.6,3.4,6.9,380.7,"2,043.8",550.4,"1,493.4",288.2,571.3,"1,321.6","1,054.8",266.8,351.6,253.8,"1,754.3","3,605.0","3,072.0","6,677.0","1,799.9",177.2,634.1,"1,706.8",457.6,"1,901.3","1,389.6",36.2,214.7,193.5,67.4,"6,677.0","1,818",882,422,"5,562",NA,NA,NA,NA,NA,"4,559","7,596",903,"1,670","23,411",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
2000,"36,376","9,986","26,390","26,059","2,062","23,997","10,074","4,730","9,194",0,471.9,3.9,2.4,0.85,$0.00,471.9,3.9,"6,143","6,806.5","1,088.9","2,951.9","1,002.7",459.6,129.1,663.4,254.0,36.4,20.7,23.2,2.2,6.8,0.6,3.3,6.7,385.1,"2,091.6",567.0,"1,524.6",301.5,570.9,"1,340.0","1,065.1",274.9,356.2,256.2,"1,806.4","3,691.8","3,114.6","6,806.5","1,826.8",154.0,629.5,"1,753.5",478.6,"1,964.1","1,436.0",41.4,224.2,199.6,62.9,"6,806.5","1,850",839,353,"5,755","4,219",86,674,636,140,"4,614","8,014",962,"1,611","23,997",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.6,0.0,0.6,0.0,0.0,0.6,0.0,0.0
2001,"36,949","10,255","26,694","26,552","2,260","24,291","10,166","4,799","9,326",0,467.9,3.9,2.4,0.86,$0.00,467.9,3.9,"6,222","6,849.0","1,104.7","2,988.3",988.4,467.5,131.1,662.4,244.5,36.5,20.8,23.3,2.2,6.8,0.6,3.3,6.6,394.0,"2,129.3",564.8,"1,564.5",311.9,576.7,"1,362.0","1,090.3",271.7,358.5,274.8,"1,753.7","3,657.5","3,191.4","6,849.0","1,843.4",158.1,639.8,"1,752.8",477.0,"1,977.9","1,459.2",40.7,220.6,193.4,64.1,"6,849.0","1,865",858,366,"5,792","4,287",83,663,616,143,"4,676","8,230",959,"1,545","24,291",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3.0,0.0,0.6,2.4,0.0,0.6,0.0,2.4
2002,"38,333","11,071","27,262","27,836","2,969","24,867","10,233","4,965","9,670",0,468.7,3.9,2.4,0.88,$0.00,468.7,3.9,"6,301","6,969.8","1,142.8","3,027.0","1,014.3",476.0,133.1,669.3,247.3,36.1,21.0,23.6,2.2,6.7,0.6,3.3,6.6,408.9,"2,199.5",578.0,"1,621.5",321.7,566.6,"1,355.4","1,084.0",271.4,362.9,288.1,"1,788.2","3,698.9","3,270.9","6,969.8","1,856.9",160.6,665.1,"1,772.4",490.6,"2,024.2","1,498.6",41.8,220.7,197.4,65.7,"6,969.8","1,857",868,363,"5,921","4,399",85,663,629,145,"4,749","8,367",949,"1,794","24,867",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3.0,0.0,0.6,2.4,0.0,0.6,0.0,2.4
